Source,Longitude,Latitude,Water_Depth,Core_Name,Temp,GDGT_0,GDGT_1,GDGT_2,GDGT_3,Crenarchaeol,Cren
Tierney and Tingley 2015,-3.518,-54.753,2921,AII-107-6-27,0.7,0.5152,0.0698,0.0209,0.0042,0.3832,0.0068
Tierney and Tingley 2015,7.763,-47.535,2473,AII-107-6-70,5.3,0.4745,0.0658,0.0303,0.0053,0.4134,0.0106
Tierney and Tingley 2015,8.008,-46.822,2270,AII-107-6-72,6.5,0.4833,0.0662,0.032,0.0052,0.4039,0.0096
Tierney and Tingley 2015,-3.33,-54.792,2768,AII-GGC-22,0.7,0.5461,0.0608,0.0197,0.0034,0.3622,0.0078
Tierney and Tingley 2015,7.542,-46.875,2517,AII-GGC-28,6.1,0.5143,0.06,0.0249,0.0031,0.3896,0.0081
Tierney and Tingley 2015,-32.498,-56.195,3223,AII-GGC-9,1,0.5326,0.0502,0.0167,0.0032,0.39,0.0072
Tierney and Tingley 2015,34.572,28.535,963,All-093-19-96,25.3,0.1332,0.057,0.0874,0.0257,0.6258,0.071
Tierney and Tingley 2015,140.237,-63.855,3726,AMR-1,-0.4,0.5512,0.0341,0.0123,0.0028,0.3872,0.0124
Tierney and Tingley 2015,139.978,-64.658,2948,AMR-2,-0.2,0.5317,0.0322,0.011,0.0028,0.4109,0.0113
Tierney and Tingley 2015,-21.688,50.865,3547,BOFS 5K 0-1,12.8,0.4118,0.0705,0.0414,0.0051,0.4522,0.0189
Tierney and Tingley 2015,-22.04,52.5,4045,BOFS 8K 0-1,12.3,0.4591,0.0754,0.0396,0.0064,0.4033,0.0162
Tierney and Tingley 2015,74.0033,75.4019,50,BP00-02,1.4,0.4733,0.023,0.0092,0.0054,0.4846,0.0045
Tierney and Tingley 2015,77.9598,75.7085,68,BP00-26,1.8,0.4866,0.0212,0.0084,0.0047,0.475,0.0039
Tierney and Tingley 2015,81.9632,76.9618,66,BP00-36/04,1.1,0.4956,0.0206,0.009,0.0056,0.4655,0.0037
Tierney and Tingley 2015,73.2385,73.1968,20,BP00-38,1.7,0.4699,0.0278,0.0107,0.0075,0.4794,0.0048
Tierney and Tingley 2015,75.8825,76.2156,111,BP01-61,1,0.489,0.0213,0.0101,0.0061,0.4694,0.0042
Tierney and Tingley 2015,79.0245,74.0007,30,BP97-19,2.3,0.4749,0.0222,0.0072,0.0049,0.4865,0.0042
Tierney and Tingley 2015,81.4812,72.0932,10,BP97-32,1.7,0.5341,0.0683,0.0264,0.015,0.346,0.0102
Tierney and Tingley 2015,80.3287,72.5087,14,BP97-35,1.7,0.4968,0.0465,0.015,0.0106,0.4235,0.0075
Tierney and Tingley 2015,79.9175,73.536,40,BP97-39,1.7,0.4759,0.023,0.0075,0.0063,0.4828,0.0046
Tierney and Tingley 2015,73.7485,72.5835,18,BP97-47,3.3,0.4965,0.0358,0.0139,0.0097,0.4392,0.0049
Tierney and Tingley 2015,72.8947,73.2095,29,BP97-49,1.5,0.4828,0.0245,0.0088,0.0071,0.4716,0.0053
Tierney and Tingley 2015,72.9513,73.611,28,BP97-50,1.5,0.4912,0.0224,0.0065,0.0061,0.4691,0.0046
Tierney and Tingley 2015,72.662,74.0003,30,BP97-52,2,0.4835,0.0209,0.0066,0.0065,0.4772,0.0053
Tierney and Tingley 2015,79.9897,72.9295,35,BP99-08,1.7,0.474,0.0293,0.012,0.0067,0.4721,0.0059
Tierney and Tingley 2015,78,74.4973,36,BP99-13,3.4,0.4697,0.0199,0.0079,0.0049,0.494,0.0036
